Timestamp,PM2.5,Temperature,Humidity,Soil_Moisture,Biodiversity_Index,Nutrient_Level,Water_Quality,Air_Quality_Index,Pollution_Level,Soil_pH,Dissolved_Oxygen,Chemical_Oxygen_Demand,Biochemical_Oxygen_Demand,Total_Dissolved_Solids,Ecological_Health_Label
1/1/2018 0:00,119.6839695,21.88582827,53.95560268,22.47978411,9,50,0,82.59492849,Low,5.284388294,6.555422432,24.11972893,9.731335605,44.79405504,Ecologically Healthy
1/1/2018 1:00,74.72323651,19.07956367,54.29895203,23.98031432,9,0,0,127.418484,Moderate,6.107887491,7.54260765,164.5849555,178.7936024,205.7870184,Ecologically Stable
1/1/2018 2:00,69.11417922,26.6758686,98.9912224,11.56631904,7,50,0,95.21541886,Low,8.361576173,6.82108524,24.81836576,25.33288627,448.3867578,Ecologically Healthy
1/1/2018 3:00,69.11511472,20.17006633,36.4164597,36.1445695,10,0,0,65.5342697,Low,7.929765785,7.421998599,248.7278797,58.94012792,359.2593828,Ecologically Healthy
1/1/2018 4:00,232.4857206,21.9157452,79.35562468,43.53254081,11,0,1,80.31495632,Low,5.378418494,7.231867834,271.0623376,106.1136634,118.3036604,Ecologically Critical
1/1/2018 5:00,143.3353115,15.02138518,96.33045929,37.93072916,12,0,0,102.1015513,Low,5.579343944,7.229230575,280.2108213,120.8593586,84.70938243,Ecologically Healthy
1/1/2018 6:00,56.55390009,22.9462703,73.7103001,40.76731996,7,0,0,84.88673256,Low,6.001308324,5.920145747,53.97662308,147.7809661,331.1483301,Ecologically Stable
1/1/2018 7:00,123.4907237,15.33792816,87.00562683,19.95596094,17,50,1,77.74736524,High,6.149443779,8.751127613,136.0677317,61.41602016,153.0861703,Ecologically Degraded
1/1/2018 8:00,99.9480132,7.948809605,41.71854551,11.17783033,9,0,0,77.70951559,High,8.270204593,7.820768469,136.9520765,151.0281763,430.5309878,Ecologically Healthy
1/1/2018 9:00,10.79574717,22.57290576,52.97977928,40.64787421,9,0,0,101.990506,Low,7.258345275,7.61386812,60.54781378,82.21111588,290.0716419,Ecologically Stable
1/1/2018 10:00,33.56211413,23.06644991,48.29955196,38.75265915,10,0,0,116.6737775,Low,5.892802999,6.36588925,87.92778436,181.2828172,469.2609641,Ecologically Degraded
